query,intent
WHAT DO YOU THINK ABOUT LOVE,general
open powerpoint,open
do you sleep,general
closR discord,close
REMIND ME TO BACK UP MY CODE,reminder
GOOGLE HOW TO MAKE PIZZA DOUGH,google search
generate an image of a cat in a hat,generate image
search recent news on ai,google search
set a reminder for the meeting at 3,reminder
look up ms dhoni interviews on youtube on youtube,youtube search
crank the volume,system
play yellow coldplay,play
GENERATE A PHOTO OF A SPACESHIP LANDING ON MARS,generate image
alert me to check email at 9,reminder
start seedhe maut,play
put on arijit singh songs,play
ping me for to check email at 9,reminder
search ms dhoni interviews on youtub3,youtube search
remiBd me to lock the dooD before sleeping,reminder
play seedhe maut,play
who is sachin tendulkar,general
exit camera,close
googlW for who won the Qorld cup,google search
Generate a photo of a misty mountain village,generate image
alert me to buy groceries this evening,reminder
remind me to check email at 9,reminder
YOUTUBE HISTORY DOCUMENTARIES,youtube search
todays top storoes,realtime
SHUT SPOTIFY,close
What is todays date,realtime
Open the calculator app,open
Create a photo of a beach at dawn,generate image
todays top stories,realtime
SEARCH FOR INDIAN RECIPES,google search
can you help me with how old are you,general
quit discord,close
What is recursion,general
google ipl 2026 schedule,google search
Explain newtons third law,general
Top news today,realtime
Close steam,close
start the file explorer,open
exit steam,close
look up for distance from earth to moon,google search
show me asmr videos on youtube on youtube,youtube search
remind me to Vack up my c8de,reminder
play counting stars,play
remind me to buy groceries this evening,reminder
launch whatsapp,open
is it raining kutside,realtime
set reminder to attend yoga class at 7 am,reminder
yourube veg recipes,youtube search
create a photo of a beach at dawn,generate image
search photography tutorials on youtube,youtube search
search recent news on ai,google search
OPEN THE FILE EXPLORER,open
Close vscode please,close
search asmr videos on youtube,youtube search
boot up word,open
SEARCH UP ISRO UPCOMING MISSIONS,google search
SET A REMINDER FOR THE FLIGHT AT 5 AM TOMORROW,reminder
RESTORE AUDIO,system
Create a picture of a knight fighting a dragon,generate image
play see you again,play
generatD an imwge of a cat in a hat,generate image
set a reminder for the meeting at 3,reminder
launch boot up word,open
SEARCH FOR PARIS TRAVEL GUIDE,google search
i was wondering what do you think about love,general
kill steam,close
WHAT IS THE TEMPERATURE NOW,realtime
show me a picture of a lighthouse in a storm as an image,generate image
PLAY BLINDING LIGHTS,play
What is the meaning of life,general
Boot up word,open
tell me top news today,realtime
How do airplanes fly,general
open powerpoint,open
alert me to lock the door before sleeping,reminder
Remind me to back up my code,reminder
how do airplanes fly,general
Search the web for best laptops 2026,google search
top news today,realtime
Turn it up,system
CLOSE DISCORD,close
Turn it up,system
CHROME PLEASE,open
play seedhe maut,play
TODAYS TOP STORIES,realtime
shut down tSlegram,close
Set reminder to attend yoga class at 7 am,reminder
how old are you,general
find out is it raining outside,realtime
generate an imaYe of a robot seeving coffee,generate image
shut down telegram,close
i need you to turn it down,system
queue perfect by ed sheeran,play
loud4r,system
PLAY COUNTING STARS,play
Play arijit singh songs,play
TOP NEWS TODAY,realtime
OPEN SETTINGS,open
remind me to back up my code,reminder
PLAY BLINDING LIGHTS,play
